"","fish","agei","A1","A2","A3","A4","A6"
"196",50,5,211.235337964057,211.276287768094,211.107142144224,211.316480461538,211.295978742097
"197",50,6,210,210,210,210,210
"198",51,1,192.688963890513,191.376039628577,192.358196369581,190.659852147302,189.596450183584
"199",51,2,186.54121006759,185.05056931786,186.843782053274,185.523741567238,184.943625852149
"200",51,3,181.475460917502,180.833589110715,181.329367736967,181.06598521473,180.678536881668
"201",51,4,180,180,180,180,180
"202",52,1,200.350942252449,200.767229793294,201.224727388448,198.224832762081,196.399081667873
"203",52,2,193.023876665811,194.091632763449,193.994254849453,192.708749686508,190.659965841735
"204",52,3,190.042518944352,190.55154342944,190.124424476469,189.975555369782,188.55071814495
"205",52,4,187.920196498567,188.579207943349,188.189509289978,187.888388800647,187.12820225642
"206",52,5,186.80850378887,186.96088139066,186.814701131154,186.844805516079,186.343365904128
"207",52,6,186,186,186,186,186
"208",53,1,177.341485236904,174.539724752223,176.957466105802,176.103330709649,175.28588670402
"209",53,2,170.768032196953,170.143117806014,170.311173392433,171.278426831397,171.229037838305
"210",53,3,169,169,169,169,169
"211",54,1,194.12040060421,192.857906789172,193.62485553848,189.952884370342,190.526239119948
"212",54,2,186.257165501479,186.26383554278,186.041258792347,185.353625939301,184.955116967709
"213",54,3,182,182,182,182,182
"214",55,1,195.28649401096,198.588932401389,196.75780321923,194.208233018518,195.987460060203
"215",55,2,188.161215232636,189.097426182098,188.936308034264,188.316944151832,187.899468626998
"216",55,3,185,185,185,185,185
"217",56,1,194.341929157392,194.968386748535,195.168547072364,192.033361209997,189.695108996794
"218",56,2,186.113976385797,185.691002382275,186.306064822142,185.829157176762,184.341989694677
"219",56,3,182,182,182,182,182
"220",57,1,180.850454882892,180.682923524008,182.428020627513,179.155201298445,177.640201866602
"221",57,2,173.324394687524,172.947013385933,173.70495709273,172.900657837131,172.368015783216
"222",57,3,170,170,170,170,170
"223",58,1,203.526870345005,201.52110226369,203.6565849818,200.078985369065,203.238784659485
"224",58,2,194.506575401536,194.380969567867,193.639494526613,193.850247050973,195.592029934947
"225",58,3,190.573307257582,190.241762207969,190.634367390057,190.123215106541,191.056713339703
"226",58,4,189,189,189,189,189
"227",59,1,197.619161469939,202.089281591093,202.499327937716,197.628514480281,201.587436970158
"228",59,2,192.383058661597,194.92130036942,195.079818833649,192.038842283751,194.810290461394
"229",59,3,188.293911706512,189.042524403444,188.69800331057,188.54529716092,188.606594811063
"230",59,4,186,186,186,186,186
"231",60,1,202.001429000911,202.713488710833,204.457641780253,203.251211845393,198.356491182698
"232",60,2,195.958898979527,196.442178245955,197.036067953719,196.88954533468,194.623313821431
"233",60,3,193.30226940116,193.411044854598,193.908404698252,193.52469693232,192.605380112638
"234",60,4,192,192,192,192,192
"235",61,1,217.872663711932,214.450965982151,219.9883543883,213.260122670361,218.966110011249
"236",61,2,208.68363258051,207.091323305926,209.805452356059,206.459997831288,208.929142452672
"237",61,3,203.978405796347,203.411501967813,204.490201295274,202.711897526287,204.858594498361
"238",61,4,201.044558507399,200.705750983906,201.189150636471,200.463037343286,201.457177714621
"239",61,5,198.774978529156,198.649380236138,199.119000223323,198.803164351072,199.003696755858
"240",61,6,198,198,198,198,198
"241",62,1,188.446234753355,186.055236242254,187.068059517935,185.707512124581,184.272299574644
"242",62,2,181.008596981133,180.336139668199,180.403962979873,180.183391529417,179.424099858215
"243",62,3,177,177,177,177,177
"244",63,1,229.935758980985,226.562789024528,231.877505870261,225.966075270265,222.436356806449
"245",63,2,216.64492378071,215.344156405343,218.335039854292,215.585676225223,213.224051295719
"246",63,3,213.351619483297,211.990132220226,213.345710269461,212.505777607463,210.415421566838
"247",63,4,210.646405238993,209.73484009575,211.266822942449,210.338441543114,209.404314864441
"248",63,5,208.940944084975,208.520452028725,209.009745273121,208.570351595881,208.898761513242
"249",63,6,208,208,208,208,208
"250",64,1,179.668500514995,178.898973768728,178.288622485359,177.849301826575,176.784548882032
"251",64,2,175.867339861361,175.850247050973,175.843704816219,175.989557622008,174.299000534284
"252",64,3,174.383960094089,173.863955401527,173.860092367672,174.674128794388,173.07882225448
"253",64,4,171,171,171,171,171
"254",65,1,208.905959659147,209.339525470841,209.333190434347,205.900021602206,205.285489502309
"255",65,2,200.928897529094,201.444730548693,201.196680075,200.190486477241,199.124637922246
"256",65,3,196.347476711158,196.933419164608,196.616525236956,196.609050807945,196.096422738825
"257",65,4,195,195,195,195,195
"258",66,1,221.855503117772,222.019574645893,221.444939479944,218.777173682438,216.446689153092
"259",66,2,212.710019569631,213.948953950455,212.476299182357,212.047050643076,209.423924372732
"260",66,3,207.346927365474,208.305163254344,207.286897249161,207.413195435647,205.613121778739
"261",66,4,204.637154462321,205.426829999328,205.030635539076,205.206597717823,204.197680815255
"262",66,5,203.733896827937,204.072320232261,203.733285055778,203.441319543565,203.326640222342
"263",66,6,203,203,203,203,203
"264",67,1,222.620247517742,222.874830313879,221.331751071915,217.320220145518,220.857375799265
"265",67,2,213.263771100321,213.56205268109,212.675090843511,210.681344139358,211.786962694877
"266",67,3,207.706591167551,208.905663864695,207.696096725213,206.621205094269,206.798235487463
"267",67,4,205.381648542616,206.179972850221,205.489497059149,204.92033603484,204.757392538975
"268",67,5,203.85058876522,204.192489818833,203.56579478617,203.43893395082,203.736971064732
"269",67,6,203,203,203,203,203
"270",68,1,183.526850882085,180.985685451026,182.921182753558,179.841725366389,180.393757844227
"271",68,2,177.269532106699,175.992192064196,176.276003051728,175.392726228158,175.016117916127
"272",68,3,171.886397571991,171.543443410475,171.430559519144,171.482999712744,171.220136790409
"273",68,4,170,170,170,170,170
"274",69,1,243.611245055178,241.103418114919,241.40404777825,237.961418905642,237.367699642633
